,abv,ibu,name,style,brewery_id,ounces
2106,0.056,20.0,Wild Plum Farmhouse Ale,Saison / Farmhouse Ale,45,16.0
2107,0.05,20.0,Vanilla Bean Buffalo Sweat,Oatmeal Stout,45,16.0
2108,0.068,110.0,Ethos IPA,American IPA,45,16.0
2109,0.044,12.0,Tallgrass Pub Ale,American Brown Ale,45,16.0
2110,0.07200000000000001,93.0,Oasis,Extra Special / Strong Bitter (ESB),45,16.0
2111,0.05,20.0,Buffalo Sweat,Milk / Sweet Stout,45,16.0
2112,0.05,20.0,Halcyon Unfiltered Wheat,American Pale Wheat Ale,45,16.0
2115,0.05,20.0,Halcyon Unfiltered Wheat,American Pale Wheat Ale,45,12.0
2116,0.05,16.0,Köld Lager (2010),German Pilsener,45,16.0
2117,0.07200000000000001,93.0,Oasis (2010),American Double / Imperial IPA,45,16.0
2118,0.044,22.0,Tallgrass Ale,American Brown Ale,45,16.0
2119,0.05,20.0,Buffalo Sweat (2010),Milk / Sweet Stout,45,16.0
2120,0.063,60.0,Tallgrass IPA,American IPA,45,16.0
2124,0.07,80.0,Old Elephant Foot IPA,American IPA,490,16.0
2125,0.065,35.0,Peck's Porter,American Porter,7,16.0
2128,0.08,22.0,Deduction,Dubbel,28,12.0
2135,0.047,42.0,RecreationAle,American Pale Ale (APA),469,12.0
2136,0.055,35.0,First Stand,Saison / Farmhouse Ale,215,12.0
2137,0.063,23.0,Battle LIne,American Brown Ale,215,12.0
2138,0.056,12.0,Broken Bridge,Dunkelweizen,215,12.0
2139,0.071,69.0,Brutus,English India Pale Ale (IPA),215,12.0
2144,0.08,120.0,Heady Topper,American Double / Imperial IPA,272,16.0
2145,0.08,120.0,Heady Topper,American Double / Imperial IPA,272,16.0
2146,0.046,20.0,Bomber Mountain Amber Ale (2013),American Amber / Red Ale,457,12.0
2147,0.07,75.0,Indian Paintbrush IPA,American IPA,457,12.0
2148,0.048,16.0,Saddle Bronc Brown Ale (2013),English Brown Ale,457,12.0
2149,0.059,15.0,Wagon Box Wheat Beer,American Pale Wheat Ale,457,12.0
2153,0.052000000000000005,16.0,Bronx Summer Pale Ale,American Pale Ale (APA),329,16.0
2154,0.057,46.0,Bronx Black Pale Ale,American Black Ale,329,16.0
2155,0.063,50.0,Bronx Pale Ale,American Pale Ale (APA),329,16.0
2156,0.052000000000000005,35.0,Surfrider,American Pale Ale (APA),33,16.0
2159,0.069,34.0,Grandma's Pecan,English Brown Ale,33,16.0
2160,0.099,101.0,Double Trunk,American Double / Imperial IPA,33,16.0
2161,0.046,45.0,Just IPA,American IPA,328,12.0
2169,0.048,18.0,Hunny Do Wheat,American Pale Wheat Ale,142,12.0
2173,0.051,11.0,Watermelon Ale,Fruit / Vegetable Beer,108,12.0
2174,0.04,18.0,Knotty Blonde Ale,American Blonde Ale,153,12.0
2175,0.062,40.0,Fivepine Chocolate Porter,American Porter,153,12.0
2176,0.062,82.0,Hoodoo Voodoo IPA,American IPA,153,12.0
2177,0.053,22.0,Hydraulion Red,Irish Red Ale,273,12.0
2178,0.06,50.0,40 Mile IPA,American IPA,273,12.0
2179,0.055,64.0,Citra Faced,American Pale Wheat Ale,21,16.0
2180,0.055,31.0,Pole Barn Stout,Oatmeal Stout,21,16.0
2181,0.054000000000000006,37.0,Pale,American Pale Ale (APA),21,16.0
2182,0.053,27.0,Yoshi's Nectar,California Common / Steam Beer,21,16.0
2187,0.058,20.0,Cafe Leche,American Porter,17,16.0
2188,0.052000000000000005,12.0,Damascene Apricot Sour,Fruit / Vegetable Beer,17,16.0
2189,0.12,90.0,Csar,Russian Imperial Stout,17,16.0
2191,0.085,115.0,Overlord Imperial IPA,American Double / Imperial IPA,17,16.0
2192,0.058,36.0,Alloy,American IPA,17,16.0
2193,0.051,22.0,Rivet Irish Red Ale,Irish Red Ale,17,16.0
2194,0.052000000000000005,50.0,3 Gear Robust Porter,American Porter,17,16.0
2195,0.045,35.0,Circuit Bohemian Pilsner,Czech Pilsener,17,16.0
2197,0.07,60.0,Juke Joint IPA,American IPA,152,12.0
2198,0.07,35.0,Parade Ground Coffee Porter,American Porter,152,12.0
2199,0.05,21.0,Tin Roof Watermelon Wheat,Fruit / Vegetable Beer,152,12.0
2200,0.045,18.0,Tin Roof Blonde Ale,American Blonde Ale,152,12.0
2201,0.055,37.0,Voodoo Bengal Pale Ale,American Pale Ale (APA),152,12.0
2202,0.045,28.0,Perfect Tin Amber,American Amber / Red Ale,152,12.0
2203,0.073,87.0,IPA & a Half,American IPA,291,12.0
2204,0.055,33.0,Ornery Amber Lager (2003),Vienna Lager,291,12.0
2207,0.062,72.0,Almanac IPA,American IPA,265,12.0
2209,0.06,30.0,Farmer's Tan Red Ale,American Amber / Red Ale,265,12.0
2214,0.075,93.0,Nugget Nectar,American Amber / Red Ale,97,16.0
2215,0.045,45.0,Sunshine Pils,American Pilsner,97,12.0
2216,0.08199999999999999,25.0,Troegenator Doublebock,Doppelbock,97,16.0
2217,0.075,85.0,Perpetual IPA,American IPA,97,12.0
2218,0.055,52.0,Greenville Pale Ale,American Pale Ale (APA),539,12.0
2219,0.062,65.0,Hoppy Boy,American IPA,520,16.0
2220,0.054000000000000006,26.0,Cow Creek,American Amber / Red Lager,38,12.0
2221,0.075,63.0,Chupahopra,American IPA,38,12.0
2222,0.051,19.0,Twisted X,American Adjunct Lager,38,12.0
2223,0.041,41.0,Day Hike Session,American IPA,190,12.0
2224,0.048,48.0,Trailhead ISA,American IPA,190,12.0
2225,0.052000000000000005,27.0,Immersion Amber,American Amber / Red Ale,190,12.0
2226,0.062,70.0,Evo IPA,American IPA,190,12.0
2228,0.062,70.0,Evolutionary IPA (2012),American IPA,190,12.0
2229,0.057,36.0,Persnickety Pale,American Pale Ale (APA),190,12.0
2230,0.054000000000000006,20.0,SoDo Brown Ale,American Brown Ale,190,12.0
2231,0.052000000000000005,27.0,Immersion Amber Ale (2011),American Amber / Red Ale,190,12.0
2232,0.062,70.0,Evolutionary IPA (2011),American IPA,190,12.0
2233,0.048,48.0,Trailhead India Style Session Ale (2011),American IPA,190,12.0
2235,0.063,69.0,Wobble,American IPA,74,16.0
2236,0.058,43.0,Night Cat,American Dark Wheat Ale,74,12.0
2237,0.058,43.0,Night Cat (2014),American Dark Wheat Ale,74,12.0
2238,0.051,17.0,Dog Days Lager,Dortmunder / Export Lager,74,12.0
2239,0.051,36.0,Sidekick Extra Pale Ale,American Pale Ale (APA),74,12.0
2240,0.077,23.0,Atom Smasher,Märzen / Oktoberfest,74,12.0
2243,0.07,68.0,Cane and Ebel,American Strong Ale,74,12.0
2251,0.05,10.0,PUNK'N,Pumpkin Ale,159,12.0
2252,0.04,22.0,Yard Sale Winter Lager,American Amber / Red Lager,159,12.0
2253,0.04,42.0,Trader Session IPA,American IPA,159,12.0
2254,0.073,83.0,Hop Nosh IPA,American IPA,159,12.0
2255,0.04,17.0,SUM'R,American Blonde Ale,159,12.0
2256,0.04,32.0,Organic Baba Black Lager,Schwarzbier,159,12.0
2257,0.073,82.0,Hop Notch IPA (2013),American IPA,159,12.0
2258,0.04,34.0,Cutthroat Pale Ale,American Pale Ale (APA),159,12.0
2259,0.04,29.0,WYLD Extra Pale Ale,American Pale Ale (APA),159,12.0
2261,0.06,75.0,The Green Room,American IPA,126,16.0
2262,0.047,25.0,Humbucker Helles,Maibock / Helles Bock,126,16.0
2271,0.085,90.0,Double Duckpin,American Double / Imperial IPA,71,12.0
2272,0.042,10.0,Old Pro,Gose,71,12.0
2275,0.045,50.0,Campside Session IPA,American IPA,202,16.0
2276,0.045,15.0,Upland Wheat Ale,Witbier,202,16.0
2280,0.068,24.0,Lee Hill Series Vol. 2 - Wild Saison,American Wild Ale,51,19.2
2281,0.099,51.0,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,American Double / Imperial Stout,51,19.2
2284,0.065,33.0,Thai Style White IPA,American White IPA,51,12.0
2285,0.075,30.0,Ferus Fluxus Wild Belgian Pale Ale,American Wild Ale,51,19.2
2286,0.099,90.0,Upslope Imperial India Pale Ale,American Double / Imperial IPA,51,19.2
2289,0.075,30.0,Upslope Belgian Style Pale Ale,Belgian Pale Ale,51,12.0
2291,0.048,15.0,Top Rope Mexican-style Craft Lager,Vienna Lager,51,12.0
2292,0.048,22.0,Upslope Craft Lager,Vienna Lager,51,12.0
2296,0.053,22.0,Common Sense Kentucky Common Ale,American Brown Ale,546,16.0
2297,0.065,70.0,Upstate I.P.W.,American IPA,546,12.0
2299,0.09,75.0,Squatters Hop Rising Double IPA,American Double / Imperial IPA,302,12.0
2304,0.09,75.0,Squatters Hop Rising Double IPA (2014),American Double / Imperial IPA,302,12.0
2312,0.092,25.0,Voodoo Love Child,Tripel,322,12.0
2313,0.079,23.0,White Magick of the Sun,Witbier,322,12.0
2314,0.075,31.0,Wynona's Big Brown Ale,American Brown Ale,322,12.0
2315,0.092,25.0,Gran Met,Belgian Strong Pale Ale,322,12.0
2316,0.073,85.0,Good Vibes IPA,American IPA,322,12.0
2317,0.075,85.0,Pilzilla,American Double / Imperial Pilsner,322,12.0
2318,0.04,37.0,Wachusett Light IPA,American IPA,295,12.0
2319,0.06,55.0,Green Monsta IPA,American IPA,295,12.0
2320,0.056,50.0,Wachusett IPA,American IPA,295,12.0
2322,0.085,85.0,Larry Imperial IPA,American Double / Imperial IPA,295,12.0
2324,0.051,17.0,Country Pale Ale,English Pale Ale,295,12.0
2325,0.04,37.0,Wachusett Light IPA (2013),American IPA,295,12.0
2326,0.052000000000000005,20.0,Pumpkan,Pumpkin Ale,295,12.0
2327,0.045,10.0,Wachusett Blueberry Ale,Fruit / Vegetable Beer,295,12.0
2328,0.06,55.0,Green Monsta IPA,American IPA,295,12.0
2330,0.052000000000000005,67.0,Self Starter,American IPA,94,16.0
2331,0.054000000000000006,20.0,Ermal's,Cream Ale,94,16.0
2339,0.04,5.0,Westbrook Gose,Gose,384,12.0
2340,0.05,16.0,White Thai,Witbier,384,12.0
2341,0.068,65.0,Westbrook IPA,American IPA,384,12.0
2342,0.057,22.0,Westfield Octoberfest,Märzen / Oktoberfest,351,12.0
2344,0.058,55.0,Charlie in the Rye,American IPA,351,12.0
2348,0.075,89.0,O’Malley’s IPA,American IPA,132,12.0
2350,0.049,28.0,L'il Lucy's Hot Pepper Ale,Chile Beer,132,12.0
2357,0.049,30.0,Hefe Lemon,Radler,296,12.0
2358,0.049,30.0,Hefe Black,Hefeweizen,296,12.0
2359,0.049,30.0,Widmer Brothers Hefeweizen,Hefeweizen,296,12.0
2360,0.08199999999999999,100.0,Hop Slayer Double IPA,American Double / Imperial IPA,361,12.0
2363,0.052000000000000005,27.0,Phat Chance,American Blonde Ale,361,12.0
2364,0.08199999999999999,100.0,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12.0
2365,0.08199999999999999,100.0,Hop Slayer Double IPA (2011),American Double / Imperial IPA,361,12.0
2366,0.042,13.0,Wild Onion Summer Wit,Witbier,361,12.0
2367,0.06,23.0,Jack Stout,Oatmeal Stout,361,12.0
2369,0.056,41.0,Paddy Pale Ale,American Pale Ale (APA),361,12.0
2370,0.068,21.0,Blonde Hunny,Belgian Pale Ale,181,12.0
2371,0.057,20.0,Wild Wolf Wee Heavy Scottish Style Ale,Scotch Ale / Wee Heavy,181,12.0
2372,0.045,25.0,Wild Wolf American Pilsner,American Pilsner,181,12.0
2373,0.051,45.0,Alpha Ale,American Pale Ale (APA),181,12.0
2379,0.07400000000000001,83.0,Ace IPA,American IPA,509,16.0
2380,0.08,31.0,P-51 Porter,American Porter,509,16.0
2382,0.071,60.0,#002 American I.P.A.,American IPA,211,12.0
2384,0.048,38.0,#004 Session I.P.A.,American IPA,211,12.0
2386,0.062,61.0,Ananda India Pale Ale,American IPA,239,12.0
2387,0.045,23.0,Tiny Bomb,American Pilsner,239,12.0
