,abv,ibu,name,style,brewery_id,ounces
1234,0.051,31,Ballistic Blonde,Belgian Pale Ale,245,12
1236,0.053,20,Lumberyard Pilsner,American Pilsner,158,12
1240,0.051,32,Mac's Scottish Style Amber Ale (2000),American Amber / Red Ale,485,12
1244,0.043,18,Sol Drifter,American Blonde Ale,91,12
1246,0.079,18,The Great Pumpcan,Fruit / Vegetable Beer,91,16
1247,0.047,11,LIFT,Kolsch,91,12
1248,0.05,40,SPRYE,American Pale Ale (APA),91,12
1249,0.069,70,Psychopathy,American IPA,91,12
1250,0.07,32,Gnarly Brown,American Brown Ale,91,12
1251,0.06,30,Happy Amber,American Amber / Red Ale,91,12
1252,0.051,20,#9,Fruit / Vegetable Beer,303,16
1253,0.055,13,Elder Betty,Hefeweizen,303,12
1254,0.051,20,#9,Fruit / Vegetable Beer,303,12
1261,0.045,21,Belgian Style Session Ale,Belgian Pale Ale,356,12
1264,0.05,18,Summer Paradise,American Pale Wheat Ale,356,12
1265,0.09,30,Monk from the 'Yunk,Tripel,356,12
1266,0.06,14,Schuylkill Punch,Fruit / Vegetable Beer,356,12
1267,0.085,85,Dreamin' Double IPA,American Double / Imperial IPA,356,12
1268,0.099,93,Chaotic Double IPA,American Double / Imperial IPA,346,12
1269,0.08,88,Manzanita IPA,American IPA,346,12
1270,0.06,25,Riverwalk Blonde Ale,American Blonde Ale,346,12
1271,0.095,49,Gillespie Brown Ale,American Brown Ale,346,12
1272,0.066,44,Manzanita Pale Ale,American Pale Ale (APA),346,12
1280,0.05,20,River House,Saison / Farmhouse Ale,161,16
1281,0.065,47,Pretzel Stout,American Stout,161,16
1282,0.05,35,Rubberneck Red,American Amber / Red Ale,161,16
1288,0.065,60,Our Legacy IPA,American IPA,299,12
1290,0.065,60,Our Legacy IPA,American IPA,299,16
1296,0.05,12,Blueberry Blonde Ale,American Blonde Ale,299,12
1301,0.051,20,Lahaina Town Brown,American Brown Ale,375,12
1306,0.06,24,Sobrehumano Palena'ole,American Amber / Red Ale,375,12
1307,0.05,12,La Perouse White,Witbier,375,12
1308,0.068,68,Flyin' HI.P.Hay,American IPA,375,12
1309,0.055,15,Mana Wheat,American Pale Wheat Ale,375,12
1310,0.045,18,Bikini Blonde Lager,Munich Helles Lager,375,12
1311,0.057,30,CoCoNut Porter,American Porter,375,12
1312,0.062,65,Big Swell IPA,American IPA,375,12
1313,0.037,34,Pit Stop Chocolate Porter,American Porter,448,12
1314,0.037,21,Pace Setter Belgian Style Wit,Witbier,448,12
1315,0.037,53,Back in the Saddle Rye Pale Ale,American Pale Ale (APA),448,12
1319,0.072,75,Tsunami IPA,American IPA,203,19.2
1320,0.072,75,Tsunami IPA,American IPA,203,12
1321,0.042,22,Humpback Blonde Ale,American Blonde Ale,203,12
1322,0.052,27,Hawaiian Crow Porter,American Porter,203,12
1323,0.052,23,Volcano Red Ale,American Amber / Red Ale,203,12
1324,0.054,42,Mauna Kea Pale Ale,American Pale Ale (APA),203,12
1325,0.053,11,Shark Bait,Fruit / Vegetable Beer,393,12
1326,0.053,30,Gator Tail Brown Ale,American Brown Ale,393,12
1327,0.071,62,Miami Vice IPA,American IPA,393,12
1328,0.053,16,Big Rod Coconut Ale,American Blonde Ale,393,12
1330,0.063,61,Pleasure Town,American IPA,223,12
1331,0.063,61,Pleasure Town IPA,American IPA,223,12
1332,0.048,12,Snowshoe White Ale,Witbier,223,12
1333,0.05,24,Kodiak Brown Ale,American Brown Ale,223,12
1334,0.057,70,Sockeye Red IPA,American IPA,223,12
1335,0.08,100,Habitus (2014),American Double / Imperial IPA,3,16
1336,0.075,85,Solis,American IPA,3,16
1337,0.06,24,Jucundus,Wheat Ale,3,16
1338,0.08,100,Habitus,American Double / Imperial IPA,3,16
1339,0.063,30,Grazias,Cream Ale,3,16
1340,0.058,28,Claritas,Kolsch,3,16
1346,0.043,8,Daft Funk,Berliner Weissbier,65,24
1354,0.087,80,Hop Freak,American Double / Imperial IPA,284,16
1355,0.051,24,Louie's Demise Amber Ale,American Amber / Red Ale,284,16
1356,0.075,51,Hop Happy,American IPA,284,16
1357,0.065,20,Booyah Farmhouse Ale,Saison / Farmhouse Ale,284,16
1359,0.048,18,Flaming Damsel Lager (2010),Vienna Lager,284,16
1360,0.051,24,Louie's Demise Immort-Ale (2010),American Amber / Red Ale,284,16
1375,0.068,66,Mission IPA,American IPA,98,32
1376,0.048,44,El Conquistador Extra Pale Ale,American Pale Ale (APA),98,32
1377,0.092,75,Shipwrecked Double IPA,American Double / Imperial IPA,98,32
1385,0.075,85,City of the Sun,American IPA,209,16
1386,0.068,75,Booming Rollers,American IPA,209,16
1387,0.052,50,Oneida,American Pale Ale (APA),209,16
1388,0.067,75,Aurora ,American Amber / Red Ale,209,16
1389,0.055,30,Lomaland,Saison / Farmhouse Ale,209,16
1390,0.047,46,Fortunate Islands,American Pale Wheat Ale,209,16
1391,0.058,40,Black House,American Stout,209,16
1392,0.065,115,Blazing World,American Amber / Red Ale,209,16
1397,0.056,28,Montauk Summer Ale,American Blonde Ale,276,12
1398,0.06,49,Driftwood Ale,Extra Special / Strong Bitter (ESB),276,12
1399,0.056,18,When Helles Freezes Over,Munich Helles Lager,326,12
1400,0.049,24,Morgan Street Oktoberfest,MArzen / Oktoberfest,326,12
